,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist,Track,Album,Track ID,language
67,0.529,0.672,0,-10.926,1,0.0459,0.114,0.0385,0.238,0.885,122.183,audio_features,1CJQzwMiSF0N8u8yy2mDqv,spotify:track:1CJQzwMiSF0N8u8yy2mDqv,https://api.spotify.com/v1/tracks/1CJQzwMiSF0N8u8yy2mDqv,https://api.spotify.com/v1/audio-analysis/1CJQzwMiSF0N8u8yy2mDqv,376093,4,Patrick Juvet,Où sont les femmes,Les incontournables de l’été de nos darons (60’s – 90’s),1CJQzwMiSF0N8u8yy2mDqv,French
68,0.709,0.913,0,-5.506,0,0.0342,0.0949,0.00293,0.169,0.964,122.861,audio_features,3HYBUHNXFDZHkkDG36Ad3j,spotify:track:3HYBUHNXFDZHkkDG36Ad3j,https://api.spotify.com/v1/tracks/3HYBUHNXFDZHkkDG36Ad3j,https://api.spotify.com/v1/audio-analysis/3HYBUHNXFDZHkkDG36Ad3j,217385,4,Yianna Katsoulos,Les autres sont jaloux,Vinyles 80's : The Best Of,3HYBUHNXFDZHkkDG36Ad3j,French
69,0.47,0.3,5,-14.771,1,0.0395,0.847,0.00000556,0.114,0.156,145.22,audio_features,3lUXkvly4T9j7Tb5nRENbX,spotify:track:3lUXkvly4T9j7Tb5nRENbX,https://api.spotify.com/v1/tracks/3lUXkvly4T9j7Tb5nRENbX,https://api.spotify.com/v1/audio-analysis/3lUXkvly4T9j7Tb5nRENbX,246053,4,Mecano,Une femme avec une femme,Descanso Dominical (Bonus Tracks Edition),3lUXkvly4T9j7Tb5nRENbX,French
70,0.83,0.652,9,-7.229,1,0.067,0.126,0.00954,0.072,0.847,118.874,audio_features,0ZJgIjGJdYzgb03LSH09Gx,spotify:track:0ZJgIjGJdYzgb03LSH09Gx,https://api.spotify.com/v1/tracks/0ZJgIjGJdYzgb03LSH09Gx,https://api.spotify.com/v1/audio-analysis/0ZJgIjGJdYzgb03LSH09Gx,221800,4,Lio,Amoureux solitaires,Amoureux solitaires,0ZJgIjGJdYzgb03LSH09Gx,French
71,0.691,0.87,7,-7.964,1,0.0348,0.00205,0.675,0.169,0.795,129.013,audio_features,463qaD8WHGFLwYQlc3FlmU,spotify:track:463qaD8WHGFLwYQlc3FlmU,https://api.spotify.com/v1/tracks/463qaD8WHGFLwYQlc3FlmU,https://api.spotify.com/v1/audio-analysis/463qaD8WHGFLwYQlc3FlmU,162507,4,Turnaround Karaoke Crew,Viens Chez Moi J'habite Chez Une Copine (In the Style of Renaud) [Karaoke Version],"Karaoke - French Hits, Vol 11",463qaD8WHGFLwYQlc3FlmU,French
72,0.893,0.456,7,-13.976,0,0.182,0.0228,0.0000412,0.0643,0.404,122.916,audio_features,6ahX5v1qHcOTyiezql22ie,spotify:track:6ahX5v1qHcOTyiezql22ie,https://api.spotify.com/v1/tracks/6ahX5v1qHcOTyiezql22ie,https://api.spotify.com/v1/audio-analysis/6ahX5v1qHcOTyiezql22ie,232830,4,Etienne,Aller,Chez moi,6ahX5v1qHcOTyiezql22ie,French
73,0.527,0.468,5,-10.487,0,0.0339,0.415,0.00000999,0.154,0.648,144.967,audio_features,226aaHSePv2kRAiGEmTlsz,spotify:track:226aaHSePv2kRAiGEmTlsz,https://api.spotify.com/v1/tracks/226aaHSePv2kRAiGEmTlsz,https://api.spotify.com/v1/audio-analysis/226aaHSePv2kRAiGEmTlsz,214285,4,Daniel Balavoine,Vivre ou survivre,Vendeurs de larmes (Remastered),226aaHSePv2kRAiGEmTlsz,French
74,0.632,0.523,1,-12.719,1,0.0294,0.00551,0.188,0.0687,0.585,104.989,audio_features,1nUI5XCjwiVc2kefbz8L3C,spotify:track:1nUI5XCjwiVc2kefbz8L3C,https://api.spotify.com/v1/tracks/1nUI5XCjwiVc2kefbz8L3C,https://api.spotify.com/v1/audio-analysis/1nUI5XCjwiVc2kefbz8L3C,331307,4,Mylène Farmer,Je t'aime mélancolie - Remix Version,L'Autre,1nUI5XCjwiVc2kefbz8L3C,French
75,0.773,0.838,0,-5.577,1,0.0361,0.0275,0.457,0.0693,0.941,121.465,audio_features,52SnTvuVkUdr8Mk7NRhdvi,spotify:track:52SnTvuVkUdr8Mk7NRhdvi,https://api.spotify.com/v1/tracks/52SnTvuVkUdr8Mk7NRhdvi,https://api.spotify.com/v1/audio-analysis/52SnTvuVkUdr8Mk7NRhdvi,206848,4,Magazine 60,Rendez-vous sur la Costa del Sol,Magazine 60 Best Of (Le meilleur des années 80),52SnTvuVkUdr8Mk7NRhdvi,French
76,0.585,0.642,9,-9.74,1,0.0341,0.66,0.00161,0.269,0.774,162.376,audio_features,0LlZsY7Cfa0uBlJjTkSzCE,spotify:track:0LlZsY7Cfa0uBlJjTkSzCE,https://api.spotify.com/v1/tracks/0LlZsY7Cfa0uBlJjTkSzCE,https://api.spotify.com/v1/audio-analysis/0LlZsY7Cfa0uBlJjTkSzCE,141440,4,Téléphone,New-York avec toi,Rappels 1 + 2,0LlZsY7Cfa0uBlJjTkSzCE,French
